Player Name,Player ID,High Arm Angle Pitch,High Arm Angle,High Arm Pitch Count,Low Arm Angle Pitch,Low Arm Angle,Low Arm Pitch Count,Difference in Arm Angles
GERSON GARABITO,642520,4-Seam Fastball,44.74,189,Curveball,42.43,167,2.31
DIEGO CASTILLO,650895,Slider,33.86,111,Sinker,31.55,45,2.3
ANTHONY GOSE,543238,Slider,49.16,35,4-Seam Fastball,46.88,44,2.29
TYLER DUFFEY,608648,Knuckle Curve,26.23,57,4-Seam Fastball,23.94,53,2.28
ETHAN ROBERTS,681799,Cutter,33.41,153,Sweeper,31.15,281,2.26
BAILEY OBER,641927,Sweeper,36.52,319,Changeup,34.27,791,2.25
BRYAN BAKER,641329,Changeup,57.95,51,4-Seam Fastball,55.7,180,2.25
YOSVER ZULUETA,691172,Sinker,29.54,175,Slider,27.31,67,2.22
ZACK WHEELER,554430,4-Seam Fastball,25.04,1343,Sweeper,22.85,413,2.19
GABE SPEIER,642100,4-Seam Fastball,29.25,147,Slider,27.06,123,2.19
EMMANUEL RAMIREZ,642629,Split-Finger,62.04,137,4-Seam Fastball,59.85,198,2.19
JAKE DIEKMAN,518617,4-Seam Fastball,20.52,282,Sweeper,18.34,168,2.18
TANNER HOUCK,656557,Sinker,23.16,877,Sweeper,20.99,1131,2.17
CHRIS ROYCROFT,688297,4-Seam Fastball,22.01,192,Sweeper,19.84,125,2.17
JUSTIN ANDERSON,605121,Sinker,37.53,132,Slider,35.37,428,2.16
EDUARD BAZARDO,660825,Sinker,45.67,83,4-Seam Fastball,43.52,120,2.15
NICK RAMIREZ,598286,Changeup,29.92,53,Sweeper,27.77,45,2.15
TREVOR MCDONALD,686790,Sinker,32.5,17,Changeup,30.35,4,2.15
COLIN HOLDERMAN,670059,Cutter,29.87,223,Sweeper,27.75,414,2.13
PABLO LÓPEZ,641154,Changeup,38.23,599,Sweeper,36.12,654,2.12
JACKSON STEPHENS,623451,4-Seam Fastball,43.75,14,Curveball,41.63,12,2.12
JAKE IRVIN,663623,4-Seam Fastball,29.68,1148,Sinker,27.59,632,2.09
JOSÉ RUIZ,614179,4-Seam Fastball,45.82,228,Sinker,43.75,201,2.07
MATTHEW LIBERATORE,669461,4-Seam Fastball,46.24,380,Slider,44.17,373,2.06
BEN HELLER,621294,Changeup,30.05,55,Slider,27.99,43,2.06
TYLOR MEGILL,656731,4-Seam Fastball,36.98,690,Sinker,34.93,150,2.05
DEDNIEL NÚÑEZ,673380,4-Seam Fastball,39.76,233,Slider,37.71,243,2.05
KYLE NELSON,669459,Slider,43.45,73,Cutter,41.4,31,2.05
VINNY NITTOLI,657697,Cutter,18.69,103,Sweeper,16.64,53,2.04
DAKOTA HUDSON,641712,Sinker,36.79,490,Changeup,34.76,152,2.03
COLIN SELBY,681882,Knuckle Curve,51.2,24,Sinker,49.18,35,2.02
RANDY RODRÍGUEZ,678495,4-Seam Fastball,38.22,414,Slider,36.21,335,2.01
MIGUEL DÍAZ,622766,Changeup,38.3,5,4-Seam Fastball,36.3,3,2
RYAN BURR,621114,4-Seam Fastball,58.68,224,Slider,56.68,345,1.99
TREY WINGENTER,622259,4-Seam Fastball,30.11,89,Slider,28.12,81,1.99
TREVOR WILLIAMS,592866,4-Seam Fastball,17.8,383,Changeup,15.85,179,1.95
LUIS CONTRERAS,664351,4-Seam Fastball,47.98,49,Sweeper,46.05,18,1.93
AARON NOLA,605400,Knuckle Curve,21.29,1079,Sinker,19.36,682,1.92
JACOB LATZ,656641,4-Seam Fastball,50.91,402,Changeup,48.99,185,1.92
LUCAS GILBREATH,656458,4-Seam Fastball,46.4,31,Slider,44.48,16,1.92
GUS VARLAND,681402,4-Seam Fastball,49.74,252,Slider,47.84,173,1.91
ORLANDO RIBALTA,687377,Slider,46.03,19,4-Seam Fastball,44.12,45,1.91
KYLE MULLER,666205,Curveball,54.56,102,Slider,52.66,179,1.9
DAVIS DANIEL,669721,4-Seam Fastball,49.1,244,Changeup,47.22,86,1.89
FRAMBER VALDEZ,664285,Curveball,43.81,820,Changeup,41.93,451,1.88
DJ HERZ,687792,4-Seam Fastball,37.41,860,Slider,35.54,284,1.86
CHARLIE MORTON,450203,4-Seam Fastball,21.56,796,Changeup,19.7,307,1.86
ANDREW SAALFRANK,685314,Curveball,49.66,7,Sinker,47.82,19,1.84
YUKI MATSUI,673513,4-Seam Fastball,57.56,428,Split-Finger,55.73,254,1.83
LUIS FRÍAS,666818,Sinker,49.68,24,Cutter,47.85,106,1.83
HANS CROUSE,668968,Changeup,27.34,49,Sinker,25.53,217,1.81
JUSTIN STERNER,686993,Cutter,41.66,20,4-Seam Fastball,39.85,41,1.81
MICHAEL TONKIN,543859,Slider,14.05,496,Sinker,12.25,242,1.8
CARSON FULMER,608334,4-Seam Fastball,38.6,333,Changeup,36.81,397,1.79
HUASCAR BRAZOBÁN,623211,Cutter,39.42,221,Sinker,37.63,223,1.79
ANTHONY VENEZIANO,685107,Sweeper,36.92,57,4-Seam Fastball,35.14,113,1.78
JARED JONES,683003,Slider,44.95,627,4-Seam Fastball,43.18,903,1.77
ADBERT ALZOLAY,640470,Slider,43.1,155,4-Seam Fastball,41.34,67,1.77
GEORGE KIRBY,669923,Sinker,37.17,683,Slider,35.42,706,1.75
ANDREW HEANEY,571760,Changeup,30.39,462,4-Seam Fastball,28.67,1396,1.72
JUSTIN WILSON,458677,4-Seam Fastball,49.11,405,Slider,47.4,207,1.71
NICK MEARS,683232,Curveball,61.26,176,Slider,59.56,240,1.71
KENTA MAEDA,628317,Split-Finger,39.18,609,Sweeper,37.48,260,1.7
CIONEL PÉREZ,672335,Slurve,38.24,328,4-Seam Fastball,36.56,209,1.68
TAYLER SCOTT,605463,4-Seam Fastball,14.07,572,Split-Finger,12.4,282,1.67
YENCY ALMONTE,622075,Sinker,39.97,98,Cutter,38.3,35,1.67
JACOB BARNES,606930,4-Seam Fastball,43.86,527,Cutter,42.2,551,1.66
ANTHONY MOLINA,683627,4-Seam Fastball,51.25,502,Slider,49.59,233,1.66
FRASER ELLARD,686642,4-Seam Fastball,27.19,240,Slider,25.53,100,1.65
TY ADCOCK,686654,Slider,48.13,30,Cutter,46.49,23,1.64
JUSTIN STEELE,657006,Slider,46.79,608,4-Seam Fastball,45.16,1221,1.63
EDUARDO RODRÍGUEZ,593958,Changeup,39.42,195,Cutter,37.79,166,1.63
JANSON JUNK,676083,4-Seam Fastball,55.62,84,Curveball,53.99,22,1.63
DINELSON LAMET,659275,Slider,47.43,34,4-Seam Fastball,45.85,36,1.59
ANTHONY MISIEWICZ,664948,Curveball,57.03,12,Cutter,55.45,16,1.58
MARC CHURCH,687847,4-Seam Fastball,57.59,7,Slider,56.02,8,1.56
DAYSBEL HERNÁNDEZ,678226,4-Seam Fastball,40.87,152,Slider,39.32,213,1.55
BRYAN KING,687911,4-Seam Fastball,37.47,224,Sweeper,35.93,148,1.54
SPENCER BIVENS,702352,Changeup,32.7,104,Sweeper,31.16,183,1.54
LANCE LYNN,458681,4-Seam Fastball,32.47,964,Cutter,30.94,453,1.53
JAKOB JUNIS,596001,Slider,29.79,426,Sinker,28.26,339,1.53
YERRY RODRÍGUEZ,666720,4-Seam Fastball,27.86,247,Changeup,26.33,49,1.53
GREGORY SANTOS,666619,Sinker,34.58,43,Slider,33.04,66,1.53
TANNER SCOTT,656945,4-Seam Fastball,35.9,729,Slider,34.39,494,1.51
YIMI GARCÍA,554340,Sinker,28.12,98,4-Seam Fastball,26.62,231,1.51
JESÚS TINOCO,622786,4-Seam Fastball,26.09,84,Sinker,24.58,195,1.51
SCOTT MCGOUGH,543518,Split-Finger,47.67,185,4-Seam Fastball,46.17,288,1.5
BRYAN SAMMONS,676614,Cutter,34.39,95,4-Seam Fastball,32.89,147,1.5
MICHAEL GROVE,675627,Slider,57.03,429,Cutter,55.56,130,1.47
ELVIS PEGUERO,665625,Slider,24.76,419,Sinker,23.3,409,1.46
HUNTER STRATTON,676702,4-Seam Fastball,38.15,216,Slider,36.69,146,1.46
EMILIO PAGÁN,641941,Cutter,42.47,161,4-Seam Fastball,41.01,343,1.46
KENNY ROSENBERG,670046,Cutter,47.2,55,Changeup,45.74,132,1.46
TYLER JAY,664079,Cutter,35.66,34,Sweeper,34.2,27,1.46
YUNIOR MARTE,628708,Slider,33.87,201,Sinker,32.42,182,1.45
GAVIN HOLLOWELL,668970,Sweeper,8.46,12,4-Seam Fastball,7.02,14,1.44
SEAN GUENTHER,674944,Sinker,45.18,113,Slider,43.76,74,1.43
CRISTIAN JAVIER,664299,Changeup,39.2,153,Slider,37.78,168,1.42
BRUSDAR GRATEROL,660813,4-Seam Fastball,38.09,22,Sinker,36.73,76,1.36
PRELANDER BERROA,672860,4-Seam Fastball,51.93,148,Slider,50.6,197,1.33
MICHAEL LORENZEN,547179,4-Seam Fastball,42.4,575,Changeup,41.09,396,1.31
JACK NEELY,680891,Slider,34.83,46,4-Seam Fastball,33.52,52,1.31
SPENCER STRIDER,675911,Curveball,46.84,21,Slider,45.53,58,1.31
